State,Registration Deadline In-Person,Registration Deadline By Mail,Registration Deadline Online,Election Day Registration,Online Registration Link,Description
"Alabama","2026-10-19","2026-10-19","2026-10-19","","https://www.alabamavotes.gov/olvr/default.aspx","Postmarked or submitted 15 days before the election."
"Alaska","2026-10-04","2026-10-04","2026-10-04","For president only","https://voterregistration.alaska.gov/","Postmarked or submitted 30 days before the election. Same-day registration available for presidential elections only."
"Arizona","2026-10-05","2026-10-05","2026-10-05","","https://servicearizona.com/VoterRegistration","Received 29 days before Election Day."
"Arkansas","2026-10-05","2026-10-05","","","","Postmarked or submitted 30 days before Election Day. No online registration available."
"California","2026-11-03","2026-10-19","2026-10-19","In-person through Election Day","https://registertovote.ca.gov/","Conditional voter registration available through Election Day at county elections offices."
"Colorado","2026-11-03","2026-10-26","2026-10-26","In-person through Election Day","https://www.sos.state.co.us/voter/","Register and vote at Voter Service and Polling Centers through Election Day."
"Connecticut","2026-10-27","2026-10-27","2026-10-27","In-person on Election Day","https://voterregistration.ct.gov/","Postmarked or submitted 7 days before the election. Election Day registration at designated locations."
"Delaware","2026-10-10","2026-10-10","2026-10-10","","https://ivote.de.gov/","Received by the fourth Saturday before a general election."
"District of Columbia","2026-11-03","2026-10-13","2026-10-13","In-person through Election Day","https://www.vote4dc.com/","Received 21 days before the election by mail/online. Same-day registration available."
"Florida","2026-10-05","2026-10-05","2026-10-05","","https://registertovoteflorida.gov/","Postmarked or submitted 29 days before Election Day."
"Georgia","2026-10-05","2026-10-05","2026-10-05","","https://registertovote.sos.ga.gov/","Postmarked or submitted 29 days before Election Day."
"Hawaii","2026-11-03","2026-10-05","2026-10-05","In-person through Election Day","https://olvr.hawaii.gov/","Same-day registration available at voting centers through Election Day."
"Idaho","2026-10-09","2026-10-09","2026-10-09","In-person through Election Day","https://apps.idahovotes.gov/OnlineVoterRegistration","Postmarked or submitted 25 days before Election Day. Election Day registration with proof of residence."
"Illinois","2026-11-03","2026-10-06","2026-10-18","In-person through Election Day","https://ova.elections.il.gov/","Grace period registration available through Election Day at designated sites."
"Indiana","2026-10-05","2026-10-05","2026-10-05","","https://indianavoters.in.gov/","Postmarked or submitted 29 days before the election."
"Iowa","2026-10-24","2026-10-24","2026-10-24","In-person on Election Day","https://sos.iowa.gov/elections/voterinformation/voterregistration.html","Received 10 days before election. Election Day registration at polling places."
"Kansas","2026-10-13","2026-10-13","2026-10-13","","https://www.kdor.ks.gov/Apps/VoterReg/","Postmarked or submitted 21 days before the election."
"Kentucky","2026-10-05","2026-10-05","2026-10-05","","https://vrsws.sos.ky.gov/ovrweb/","Postmarked or submitted 29 days before the election."
"Louisiana","2026-10-03","2026-10-03","2026-10-13","","https://voterportal.sos.la.gov/","Received 30 days before Election Day by mail/in-person. 20 days before online."
"Maine","2026-11-03","2026-10-13","","In-person through Election Day","","Election Day registration available. No online registration."
"Maryland","2026-10-20","2026-10-13","2026-10-13","In-person during early voting","https://voterservices.elections.maryland.gov/OnlineVoterRegistration","Same-day registration during early voting period."
"Massachusetts","2026-10-24","2026-10-24","2026-10-24","","https://www.sec.state.ma.us/ovr/","Postmarked or submitted 10 days before the election."
"Michigan","2026-11-03","2026-10-19","2026-10-19","In-person through Election Day","https://mvic.sos.state.mi.us/RegisterVoter","Same-day registration at clerk's office through Election Day."
"Minnesota","2026-11-03","2026-10-13","2026-10-13","In-person through Election Day","https://mnvotes.sos.state.mn.us/VoterRegistration","Received 21 days before election by mail/online. Election Day registration at polling places."
"Mississippi","2026-10-05","2026-10-05","","","","Postmarked or submitted 30 days before Election Day. No online registration."
"Missouri","2026-10-07","2026-10-07","2026-10-07","","https://s1.sos.mo.gov/elections/goVoteMissouri/register.aspx","Postmarked or submitted by the 4th Wednesday before Election Day."
"Montana","2026-11-03","2026-10-05","","In-person through Election Day","","Late registration at county election offices through Election Day. No online registration."
"Nebraska","2026-10-23","2026-10-16","2026-10-16","","https://www.nebraska.gov/apps-sos-voter-registration/","Postmarked the third Friday before election. Received in person the second Friday before election."
"Nevada","2026-11-03","2026-10-06","2026-10-15","In-person through Election Day","https://www.nvsos.gov/SOSVoterServices/","Same-day registration available during early voting and on Election Day."
"New Hampshire","2026-11-03","","","In-person through Election Day","","Election Day registration at polling places. No mail or online registration."
"New Jersey","2026-10-13","2026-10-13","2026-10-13","","https://voter.svrs.nj.gov/register","Received 21 days before the election."
"New Mexico","2026-11-03","2026-10-06","2026-10-06","In-person through Election Day","https://portal.sos.state.nm.us/OVR/","Same-day registration during early voting and on Election Day."
"New York","2026-10-24","2026-10-24","2026-10-24","","https://dmv.ny.gov/more-info/electronic-voter-registration-application","Postmarked 25 days and received 20 days before the election."
"North Carolina","2026-10-09","2026-10-09","2026-10-09","During early voting only","https://www.ncdot.gov/dmv/offices-services/online/Pages/voter-registration-application.aspx","Same-day registration during early voting period only, not on Election Day."
"North Dakota","","","","","","North Dakota does not have voter registration."
"Ohio","2026-10-05","2026-10-05","2026-10-05","","https://olvr.ohiosos.gov/","Received 30 days before election."
"Oklahoma","2026-10-09","2026-10-09","2026-10-09","","https://www.ok.gov/elections/Voter_Info/Register_to_Vote/","Postmarked or submitted 25 days before the election."
"Oregon","2026-10-13","2026-10-13","2026-10-13","","https://sos.oregon.gov/voting/Pages/registration.aspx","Received 21 days before the election."
"Pennsylvania","2026-10-19","2026-10-19","2026-10-19","","https://www.pavoterservices.pa.gov/pages/VoterRegistrationApplication.aspx","Received 15 days before the election."
"Rhode Island","2026-10-04","2026-10-04","2026-10-04","For president only","https://vote.sos.ri.gov/","Received 30 days before the election. Same-day registration for presidential elections only."
"South Carolina","2026-10-02","2026-10-02","2026-10-02","","https://scvotes.gov/","Received 30 days before the election. Online deadline may be earlier."
"South Dakota","2026-10-19","2026-10-19","","","","Received 15 days before the election. No online registration."
"Tennessee","2026-10-05","2026-10-05","2026-10-05","","https://ovr.govote.tn.gov/","Postmarked or submitted 30 days before the election."
"Texas","2026-10-05","2026-10-05","","","","Postmarked or submitted 30 days before the election. No online registration."
"Utah","2026-10-27","2026-10-05","2026-10-27","","https://vote.utah.gov/","30 days before by mail. 7 days before online or in-person."
"Vermont","2026-11-03","2026-11-03","2026-11-03","In-person through Election Day","https://olvr.vermont.gov/","Same-day registration available through Election Day."
"Virginia","2026-10-12","2026-10-12","2026-10-12","In-person through Election Day","https://www.elections.virginia.gov/citizen-portal/","Same-day registration available during early voting and on Election Day."
"Washington","2026-10-26","2026-10-05","2026-10-26","In-person through Election Day","https://voter.votewa.gov/","Same-day registration at county elections offices through Election Day."
"West Virginia","2026-10-13","2026-10-13","2026-10-13","","https://ovr.sos.wv.gov/","Postmarked or submitted 21 days before the election."
"Wisconsin","2026-11-03","2026-10-14","2026-10-14","In-person through Election Day","https://myvote.wi.gov/","Postmarked 20 days before. In-person by Friday before election. Election Day registration at polling places."
"Wyoming","2026-11-03","2026-10-19","","In-person through Election Day","","Election Day registration available. No online registration."
